sheet,panel,shot_id,title,location,characters,dialogue,action,camera,prompt_base_ru,prompt_base_en,negative_prompt
3,6,S11B,Монолог-решение: срочно предупредить дворец. (часть 2/2),Склон горы,PM,"Предупредить о том, что видел, ведь для тортов такой конец и в страшном сне бы не предвидел.","PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.","На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.","Кадр S11B. Локация: Склон горы. Персонажи: PM. Сцена: Монолог-решение: срочно предупредить дворец. (часть 2/2). Действие: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Камера: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Реплика: Предупредить о том, что видел, ведь для тортов такой конец и в страшном сне бы не предвидел..","Shot S11B. Location: Склон горы. Characters: PM. Scene: Монолог-решение: срочно предупредить дворец. (часть 2/2). Action: PM сжимает кулаки, разворачивается от обзора людей и быстрым шагом уходит по склону в сторону дворца.. Camera: На переднем плане камни тропы, в среднем PM в движении, на заднем удаляющиеся сады; средний трекинг со следованием за спиной героя.. Dialogue: Предупредить о том, что видел, ведь для тортов такой конец и в страшном сне бы не предвидел..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,7,S12,У дверей дворца: требование пропуска.,Двери дворца,"PM, Gurts","PM: Эй, леденец, открой двери. К Наполеону мне охота.","PM подбегает к дверям дворца, стучит в двери и подается вперед корпусом; Gurts настораживается и фиксирует стойку.","Передний план — двери дворца и декор проема, средний — PM и Gurts лицом к лицу, задний — дворцовый двор; средний фронтальный кадр.","Кадр S12. Локация: Двери дворца. Персонажи: PM, Gurts. Сцена: У дверей дворца: требование пропуска.. Действие: PM подбегает к дверям дворца, стучит в двери и подается вперед корпусом; Gurts настораживается и фиксирует стойку.. Камера: Передний план — двери дворца и декор проема, средний — PM и Gurts лицом к лицу, задний — дворцовый двор; средний фронтальный кадр.. Реплика: PM: Эй, леденец, открой двери. К Наполеону мне охота..","Shot S12. Location: Двери дворца. Characters: PM, Gurts. Scene: У дверей дворца: требование пропуска.. Action: PM подбегает к дверям дворца, стучит в двери и подается вперед корпусом; Gurts настораживается и фиксирует стойку.. Camera: Передний план — двери дворца и декор проема, средний — PM и Gurts лицом к лицу, задний — дворцовый двор; средний фронтальный кадр.. Dialogue: PM: Эй, леденец, открой двери. К Наполеону мне охота..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
3,8,S13,Страж блокирует вход.,Двери дворца,"Gurts, PM",Gurts: А что за дело? Всем тортам закрыт и двери тут и там.,"Gurts выставляет руку-барьер, PM делает шаг влево в поиске прохода, но останавливается под жёстким взглядом стража.","На переднем плане рука/сабля Gurts, в среднем PM и страж, на заднем закрытые двери; средний статичный с легким контрпланом.","Кадр S13. Локация: Двери дворца. Персонажи: Gurts, PM. Сцена: Страж блокирует вход.. Действие: Gurts выставляет руку-барьер, PM делает шаг влево в поиске прохода, но останавливается под жёстким взглядом стража.. Камера: На переднем плане рука/сабля Gurts, в среднем PM и страж, на заднем закрытые двери; средний статичный с легким контрпланом.. Реплика: Gurts: А что за дело? Всем тортам закрыт и двери тут и там..","Shot S13. Location: Двери дворца. Characters: Gurts, PM. Scene: Страж блокирует вход.. Action: Gurts выставляет руку-барьер, PM делает шаг влево в поиске прохода, но останавливается под жёстким взглядом стража.. Camera: На переднем плане рука/сабля Gurts, в среднем PM и страж, на заднем закрытые двери; средний статичный с легким контрпланом.. Dialogue: Gurts: А что за дело? Всем тортам закрыт и двери тут и там..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,1,S14,Ключевая реплика-аргумент.,Ворота дворца,"PM, Gurts","PM: А ты скажи ему, что я видал, как торт едет с утра.","PM наклоняется ближе, говорит тихо и настойчиво, Gurts меняет выражение лица и колеблется перед решением.","Передний план — плечо PM, в среднем лица PM и Gurts, на заднем текстура ворот; крупный диалоговый кадр с минимальным паном.","Кадр S14. Локация: Ворота дворца. Персонажи: PM, Gurts. Сцена: Ключевая реплика-аргумент.. Действие: PM наклоняется ближе, говорит тихо и настойчиво, Gurts меняет выражение лица и колеблется перед решением.. Камера: Передний план — плечо PM, в среднем лица PM и Gurts, на заднем текстура ворот; крупный диалоговый кадр с минимальным паном.. Реплика: PM: А ты скажи ему, что я видал, как торт едет с утра..","Shot S14. Location: Ворота дворца. Characters: PM, Gurts. Scene: Ключевая реплика-аргумент.. Action: PM наклоняется ближе, говорит тихо и настойчиво, Gurts меняет выражение лица и колеблется перед решением.. Camera: Передний план — плечо PM, в среднем лица PM и Gurts, на заднем текстура ворот; крупный диалоговый кадр с минимальным паном.. Dialogue: PM: А ты скажи ему, что я видал, как торт едет с утра..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,2,S15A,Тронный зал: Наполеон встречает героя угрозой. (часть 1/2),Тронный зал,"Napoleon, PM, General, Eclair",Napoleon: С момента царства моего тортов здесь не было давно.,"Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.","Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.","Кадр S15A. Локация: Тронный зал. Персонажи: Napoleon, PM, General, Eclair. Сцена: Тронный зал: Наполеон встречает героя угрозой. (часть 1/2). Действие: Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.. Камера: Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.. Реплика: Napoleon: С момента царства моего тортов здесь не было давно..","Shot S15A. Location: Тронный зал. Characters: Napoleon, PM, General, Eclair. Scene: Тронный зал: Наполеон встречает героя угрозой. (часть 1/2). Action: Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.. Camera: Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.. Dialogue: Napoleon: С момента царства моего тортов здесь не было давно..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,3,S15B,Тронный зал: Наполеон встречает героя угрозой. (часть 2/2),Тронный зал,"Napoleon, PM, General, Eclair","И если ты сюда явился, то лучше Богу помолился.","Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.","Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.","Кадр S15B. Локация: Тронный зал. Персонажи: Napoleon, PM, General, Eclair. Сцена: Тронный зал: Наполеон встречает героя угрозой. (часть 2/2). Действие: Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.. Камера: Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.. Реплика: И если ты сюда явился, то лучше Богу помолился..","Shot S15B. Location: Тронный зал. Characters: Napoleon, PM, General, Eclair. Scene: Тронный зал: Наполеон встречает героя угрозой. (часть 2/2). Action: Napoleon встаёт у трона и доминирует голосом, PM держится прямо, General и Eclair обмениваются контролирующими взглядами.. Camera: Передний план — край трона, средний — Napoleon и PM в оппозиции, задний — General и Eclair; средний двухплановый кадр с медленным наездом.. Dialogue: И если ты сюда явился, то лучше Богу помолился..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,4,S16,Птичье Молоко просит выслушать.,Тронный зал,"PM, Napoleon","PM: Успею я еще с мольбой. Услышь, что и лучше голос мой.","PM делает полшага вперёд, прижимает ладонь к груди и говорит сдержанно, Napoleon отворачивает голову, показывая скепсис.","Передний план — силуэт PM, в среднем PM и Napoleon, на заднем тронный зал с Crowd; крупный диалоговый кадр с легким наклоном камеры.","Кадр S16. Локация: Тронный зал. Персонажи: PM, Napoleon. Сцена: Птичье Молоко просит выслушать.. Действие: PM делает полшага вперёд, прижимает ладонь к груди и говорит сдержанно, Napoleon отворачивает голову, показывая скепсис.. Камера: Передний план — силуэт PM, в среднем PM и Napoleon, на заднем тронный зал с Crowd; крупный диалоговый кадр с легким наклоном камеры.. Реплика: PM: Успею я еще с мольбой. Услышь, что и лучше голос мой..","Shot S16. Location: Тронный зал. Characters: PM, Napoleon. Scene: Птичье Молоко просит выслушать.. Action: PM делает полшага вперёд, прижимает ладонь к груди и говорит сдержанно, Napoleon отворачивает голову, показывая скепсис.. Camera: Передний план — силуэт PM, в среднем PM и Napoleon, на заднем тронный зал с Crowd; крупный диалоговый кадр с легким наклоном камеры.. Dialogue: PM: Успею я еще с мольбой. Услышь, что и лучше голос мой..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,5,S17A,Подробное описание увиденной угрозы. (часть 1/3),Тронный зал,"PM, Napoleon, Crowd","PM: Сегодня, соответственно, из колы, увидел я, как там вдали за сводом и за небесами, за","PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.","Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.","Кадр S17A. Локация: Тронный зал. Персонажи: PM, Napoleon, Crowd. Сцена: Подробное описание увиденной угрозы. (часть 1/3). Действие: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Камера: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Реплика: PM: Сегодня, соответственно, из колы, увидел я, как там вдали за сводом и за небесами, за.","Shot S17A. Location: Тронный зал. Characters: PM, Napoleon, Crowd. Scene: Подробное описание увиденной угрозы. (часть 1/3). Action: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Camera: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Dialogue: PM: Сегодня, соответственно, из колы, увидел я, как там вдали за сводом и за небесами, за.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,6,S17B,Подробное описание увиденной угрозы. (часть 2/3),Тронный зал,"PM, Napoleon, Crowd","золоченными полями, где птицы роются в садах, там на обеденных столах, да вместе с чаем и","PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.","Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.","Кадр S17B. Локация: Тронный зал. Персонажи: PM, Napoleon, Crowd. Сцена: Подробное описание увиденной угрозы. (часть 2/3). Действие: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Камера: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Реплика: золоченными полями, где птицы роются в садах, там на обеденных столах, да вместе с чаем и.","Shot S17B. Location: Тронный зал. Characters: PM, Napoleon, Crowd. Scene: Подробное описание увиденной угрозы. (часть 2/3). Action: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Camera: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Dialogue: золоченными полями, где птицы роются в садах, там на обеденных столах, да вместе с чаем и.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,7,S17C,Подробное описание увиденной угрозы. (часть 3/3),Тронный зал,"PM, Napoleon, Crowd","вареньем, с большим, похожим наслаждением. Не знаю, что за существа, но поглотили два торта.","PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.","Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.","Кадр S17C. Локация: Тронный зал. Персонажи: PM, Napoleon, Crowd. Сцена: Подробное описание увиденной угрозы. (часть 3/3). Действие: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Камера: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Реплика: вареньем, с большим, похожим наслаждением. Не знаю, что за существа, но поглотили два торта..","Shot S17C. Location: Тронный зал. Characters: PM, Napoleon, Crowd. Scene: Подробное описание увиденной угрозы. (часть 3/3). Action: PM широкими жестами описывает увиденное, Crowd при дворе шепчется, Napoleon слушает с каменным лицом.. Camera: Передний план — жесты рук PM, в среднем PM и Napoleon, задний — придворная Crowd; средний кадр с мягким круговым обходом.. Dialogue: вареньем, с большим, похожим наслаждением. Не знаю, что за существа, но поглотили два торта..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
4,8,S18,Напряжение после предупреждения ПМ.,Тронный зал,"PM, Napoleon, General, Gurts",General: Повсюду у меня есть уши. Ты лучше царь его не слушай.,"PM пытается договорить, General резко пресекает, Gurts смыкают строй, Napoleon наблюдает и не вмешивается.","Передний план — PM в полупрофиле, средний — General и Gurts, задний — Napoleon у трона; средний напряженный кадр без Crowd.","Кадр S18. Локация: Тронный зал. Персонажи: PM, Napoleon, General, Gurts. Сцена: Напряжение после предупреждения ПМ.. Действие: PM пытается договорить, General резко пресекает, Gurts смыкают строй, Napoleon наблюдает и не вмешивается.. Камера: Передний план — PM в полупрофиле, средний — General и Gurts, задний — Napoleon у трона; средний напряженный кадр без Crowd.. Реплика: General: Повсюду у меня есть уши. Ты лучше царь его не слушай..","Shot S18. Location: Тронный зал. Characters: PM, Napoleon, General, Gurts. Scene: Напряжение после предупреждения ПМ.. Action: PM пытается договорить, General резко пресекает, Gurts смыкают строй, Napoleon наблюдает и не вмешивается.. Camera: Передний план — PM в полупрофиле, средний — General и Gurts, задний — Napoleon у трона; средний напряженный кадр без Crowd.. Dialogue: General: Повсюду у меня есть уши. Ты лучше царь его не слушай..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,1,S19A,Желе обвиняет героя в заговоре. (часть 1/2),Тронный зал,"General, Napoleon, PM","General: Пробрался он сюда специально, чтобы свергнуть вас. План гениальный.","General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.","Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.","Кадр S19A. Локация: Тронный зал. Персонажи: General, Napoleon, PM. Сцена: Желе обвиняет героя в заговоре. (часть 1/2). Действие: General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.. Камера: Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.. Реплика: General: Пробрался он сюда специально, чтобы свергнуть вас. План гениальный..","Shot S19A. Location: Тронный зал. Characters: General, Napoleon, PM. Scene: Желе обвиняет героя в заговоре. (часть 1/2). Action: General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.. Camera: Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.. Dialogue: General: Пробрался он сюда специально, чтобы свергнуть вас. План гениальный..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,2,S19B,Желе обвиняет героя в заговоре. (часть 2/2),Тронный зал,"General, Napoleon, PM",Отдайте мне его скорей. Узнает сразу кто главней.,"General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.","Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.","Кадр S19B. Локация: Тронный зал. Персонажи: General, Napoleon, PM. Сцена: Желе обвиняет героя в заговоре. (часть 2/2). Действие: General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.. Камера: Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.. Реплика: Отдайте мне его скорей. Узнает сразу кто главней..","Shot S19B. Location: Тронный зал. Characters: General, Napoleon, PM. Scene: Желе обвиняет героя в заговоре. (часть 2/2). Action: General выходит вперёд, указывает на PM обвиняющим жестом, Napoleon слушает, PM сдерживает ответ.. Camera: Передний план — указывающая рука General, в среднем General и PM, на заднем Napoleon; крупный конфликтный кадр с контровым светом.. Dialogue: Отдайте мне его скорей. Узнает сразу кто главней..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,3,S20,Эклер поддерживает сомнение двора.,Тронный зал,"Eclair, General","Eclair: Ну что за вздор, откуда здесь до тортоеды уже есть?","Eclair подхватывает линию General, говорит в полоборота к Napoleon и поднимает брови, усиливая сомнение.","Передний план — профиль Eclair, средний — Eclair и General, задний — Napoleon на троне; средний репликовый кадр с лёгким долли-ин.","Кадр S20. Локация: Тронный зал. Персонажи: Eclair, General. Сцена: Эклер поддерживает сомнение двора.. Действие: Eclair подхватывает линию General, говорит в полоборота к Napoleon и поднимает брови, усиливая сомнение.. Камера: Передний план — профиль Eclair, средний — Eclair и General, задний — Napoleon на троне; средний репликовый кадр с лёгким долли-ин.. Реплика: Eclair: Ну что за вздор, откуда здесь до тортоеды уже есть?.","Shot S20. Location: Тронный зал. Characters: Eclair, General. Scene: Эклер поддерживает сомнение двора.. Action: Eclair подхватывает линию General, говорит в полоборота к Napoleon и поднимает брови, усиливая сомнение.. Camera: Передний план — профиль Eclair, средний — Eclair и General, задний — Napoleon на троне; средний репликовый кадр с лёгким долли-ин.. Dialogue: Eclair: Ну что за вздор, откуда здесь до тортоеды уже есть?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,4,S21A,Птичье Молоко настаивает: проверить лично. (часть 1/2),Тронный зал,"PM, Napoleon","PM: Они не здесь, под небесами, за золоченными полями, среди садов, за облаками.","PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.","Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.","Кадр S21A. Локация: Тронный зал. Персонажи: PM, Napoleon. Сцена: Птичье Молоко настаивает: проверить лично. (часть 1/2). Действие: PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.. Камера: Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.. Реплика: PM: Они не здесь, под небесами, за золоченными полями, среди садов, за облаками..","Shot S21A. Location: Тронный зал. Characters: PM, Napoleon. Scene: Птичье Молоко настаивает: проверить лично. (часть 1/2). Action: PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.. Camera: Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.. Dialogue: PM: Они не здесь, под небесами, за золоченными полями, среди садов, за облаками..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,5,S21B,Птичье Молоко настаивает: проверить лично. (часть 2/2),Тронный зал,"PM, Napoleon",Сходите и проверьте сами.,"PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.","Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.","Кадр S21B. Локация: Тронный зал. Персонажи: PM, Napoleon. Сцена: Птичье Молоко настаивает: проверить лично. (часть 2/2). Действие: PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.. Камера: Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.. Реплика: Сходите и проверьте сами..","Shot S21B. Location: Тронный зал. Characters: PM, Napoleon. Scene: Птичье Молоко настаивает: проверить лично. (часть 2/2). Action: PM не отступает, выпрямляется и снова просит проверку, Napoleon остаётся холодным и не меняет позы.. Camera: Передний план — PM в полуобороте, средний — PM и Napoleon, задний — глубокий зал; средний статичный кадр с короткой сменой фокуса.. Dialogue: Сходите и проверьте сами..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,6,S22,Желе повышает давление.,Тронный зал,"General, PM","General: Да ты дерзить, похоже, вздумал. Ишь, посмотри, чего думал.","General сокращает дистанцию, нависает над PM и гасит его попытку говорить, PM сохраняет стойкость.","Передний план — силуэт General, средний — PM под давлением, задний — трон и стража; средний кадр с небольшим нижним ракурсом.","Кадр S22. Локация: Тронный зал. Персонажи: General, PM. Сцена: Желе повышает давление.. Действие: General сокращает дистанцию, нависает над PM и гасит его попытку говорить, PM сохраняет стойкость.. Камера: Передний план — силуэт General, средний — PM под давлением, задний — трон и стража; средний кадр с небольшим нижним ракурсом.. Реплика: General: Да ты дерзить, похоже, вздумал. Ишь, посмотри, чего думал..","Shot S22. Location: Тронный зал. Characters: General, PM. Scene: Желе повышает давление.. Action: General сокращает дистанцию, нависает над PM и гасит его попытку говорить, PM сохраняет стойкость.. Camera: Передний план — силуэт General, средний — PM под давлением, задний — трон и стража; средний кадр с небольшим нижним ракурсом.. Dialogue: General: Да ты дерзить, похоже, вздумал. Ишь, посмотри, чего думал..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,7,S23A,Наполеон высмеивает и отвергает угрозу. (часть 1/2),Тронный зал,"Napoleon, PM","Napoleon: Ну ты ей Богу рассмешил. Чего ты видел, где ты был? И нам какая в том забота?","Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.","На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.","Кадр S23A. Локация: Тронный зал. Персонажи: Napoleon, PM. Сцена: Наполеон высмеивает и отвергает угрозу. (часть 1/2). Действие: Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.. Камера: На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.. Реплика: Napoleon: Ну ты ей Богу рассмешил. Чего ты видел, где ты был? И нам какая в том забота?.","Shot S23A. Location: Тронный зал. Characters: Napoleon, PM. Scene: Наполеон высмеивает и отвергает угрозу. (часть 1/2). Action: Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.. Camera: На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.. Dialogue: Napoleon: Ну ты ей Богу рассмешил. Чего ты видел, где ты был? И нам какая в том забота?.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
5,8,S23B,Наполеон высмеивает и отвергает угрозу. (часть 2/2),Тронный зал,"Napoleon, PM","Не наши, это ведь работа другие царства изучать. Своих бы слуг нам поучать.","Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.","На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.","Кадр S23B. Локация: Тронный зал. Персонажи: Napoleon, PM. Сцена: Наполеон высмеивает и отвергает угрозу. (часть 2/2). Действие: Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.. Камера: На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.. Реплика: Не наши, это ведь работа другие царства изучать. Своих бы слуг нам поучать..","Shot S23B. Location: Тронный зал. Characters: Napoleon, PM. Scene: Наполеон высмеивает и отвергает угрозу. (часть 2/2). Action: Napoleon усмехается, делает dismiss-жест рукой и отворачивается от PM, завершая спор приказным тоном.. Camera: На переднем плане жест Napoleon, в среднем Napoleon и PM, на заднем Eclair и General; крупный/средний переход с акцентом на реакцию PM.. Dialogue: Не наши, это ведь работа другие царства изучать. Своих бы слуг нам поучать..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
6,1,S24A,Птичье Молоко предупреждает о последствиях. (часть 1/2),Тронный зал,"PM, Napoleon","PM: Ну как хотите, только если вас так сожрут, сожрут всех","PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.","Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.","Кадр S24A. Локация: Тронный зал. Персонажи: PM, Napoleon. Сцена: Птичье Молоко предупреждает о последствиях. (часть 1/2). Действие: PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.. Камера: Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.. Реплика: PM: Ну как хотите, только если вас так сожрут, сожрут всех.","Shot S24A. Location: Тронный зал. Characters: PM, Napoleon. Scene: Птичье Молоко предупреждает о последствиях. (часть 1/2). Action: PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.. Camera: Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.. Dialogue: PM: Ну как хотите, только если вас так сожрут, сожрут всех.","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
6,2,S24B,Птичье Молоко предупреждает о последствиях. (часть 2/2),Тронный зал,"PM, Napoleon","вместе, то вспомните мои слова, на то и есть ведь голова.","PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.","Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.","Кадр S24B. Локация: Тронный зал. Персонажи: PM, Napoleon. Сцена: Птичье Молоко предупреждает о последствиях. (часть 2/2). Действие: PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.. Камера: Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.. Реплика: вместе, то вспомните мои слова, на то и есть ведь голова..","Shot S24B. Location: Тронный зал. Characters: PM, Napoleon. Scene: Птичье Молоко предупреждает о последствиях. (часть 2/2). Action: PM делает последний шаг к центру, предупреждает о риске и фиксирует взгляд на Napoleon, не моргая.. Camera: Передний план — лицо PM, средний — дистанция PM и Napoleon, задний — пустой тронный проход; крупный драматический кадр.. Dialogue: вместе, то вспомните мои слова, на то и есть ведь голова..","lowres, blurry, jpeg artifacts, deformed anatomy, extra limbs, bad hands, unreadable text, watermark, logo"
